Ticker,Description,Price,Change %,Change,High,Low,Volume,Volume 24h in -usd,Volume 24h Change %,Technical Rating,Exchange
ETH-usd,Ether / United States Dollar,1251.31,0.86491802,10.73,1253.36,1240.27,10899.91054644,282312529.6215045,-29.6730453,Sell,COINBASE
BTC-usd,Bitcoin / United States Dollar,16947.72,0.37145395,62.72,16968.39,16882.86,976.03046415,233241093.8084546,-41.10075266,Neutral,COINBASE
DOGE-usd,Dogecoin / United States Dollar,0.10145,1.76547297,0.00176,0.10249,0.09954,40707602.00000008,42739560.80652805,-5.83751836,Buy,COINBASE
-usdT-usd,Tether / United States Dollar,1.00008,-0.00299967,-0.00003,1.00011,1.00005,884406.42,22853538.18459583,-54.62343528,Buy,COINBASE
ETH-usdT,Ether / Tether,1251.28,0.80074758,9.94,1253.15,1240.4,1148.70102372,21459851.58957141,-45.41066402,Sell,COINBASE
MATIC-usd,Polygon / United States Dollar,0.9119,1.03035675,0.0093,0.9129,0.9013,965059.9,20190435.03647016,-52.5422426,Buy,COINBASE
BTC-usdT,Bitcoin / Tether,16942.21,0.34969736,59.04,16968.12,16881.32,31.56264148,15743199.67479067,-38.28712524,Sell,COINBASE
LINK-usd,Chainlink / United States Dollar,7.294,0.8154803,0.059,7.305,7.228,46158.17,13827962.84571018,-40.82853938,Buy,COINBASE
ADA-usd,Cardano / United States Dollar,0.3212,0.50062578,0.0016,0.3233,0.3195,2088791.43,10583625.06099709,-10.28359199,Sell,COINBASE
LTC-usd,Litecoin / United States Dollar,76.96,0.7066213,0.54,77.22,76.39,11087.31142533,9769271.89656121,-33.34147744,Buy,COINBASE
SOL-usd,Solana / United States Dollar,13.48,1.42964635,0.19,13.5,13.27,42572.026,8982253.42018007,-44.00605856,Sell,COINBASE
SHIB-usd,Shiba Inu / United States Dollar,0.00000925,0.54347826,5e-8,0.00000928,0.00000918,23831444281.999996,8074278.37707185,-10.1884567,Sell,COINBASE
YFII-usd,DFI.Money / United States Dollar,1337.28,-0.12099485,-1.62,1363.1,1282.73,664.58686606,7095035.00450769,504.05869283,Sell,COINBASE
AVAX-usd,Avalanche / United States Dollar,13.57,1.19313945,0.16,13.67,13.4,15871.528,5494805.51292001,-23.88453466,Sell,COINBASE
ALGO-usd,Algorand / United States Dollar,0.2381,0.16827934,0.0004,0.2383,0.2368,546999.9,5063719.37630002,-10.87839076,Sell,COINBASE
ETHEUR,Ether / Euro,1189.1,0.81048544,9.56,1193.05,1178.42,348.40235898,5024239.66504066,-1.1408499,Sell,COINBASE
UNI-usd,Uniswap / United States Dollar,6.152,0.96832431,0.059,6.166,6.092,26037.338733,4927022.56260192,-67.20382375,Buy,COINBASE
XLM-usd,Stellar / United States Dollar,0.086497,0.22130559,0.000191,0.086654,0.086065,1538083,3542272.63869602,-34.49724446,Sell,COINBASE
ATOM-usd,Cosmos / United States Dollar,10.073,0.47880299,0.048,10.086,10.021,22937.52,3504025.46129997,-1.93378424,Sell,COINBASE
QNT-usd,Quant / United States Dollar,127.02,0.52231719,0.66,127.49,125.16,2762.559,3111516.66378,-50.26801744,Neutral,COINBASE
DOT-usd,Polkadot / United States Dollar,5.528,0.58224163,0.032,5.549,5.491,26308.483,3055244.77281199,-43.36672675,Sell,COINBASE
BTRST-usd,Braintrust / United States Dollar,1.134,5.58659218,0.06,1.165,1.06,57784.56,2824968.79141,122.12729097,Neutral,COINBASE
ETHBTC,Ether / Bitcoin,0.07383,0.43531492,0.00032,0.07392,0.07349,105.10096385,2626567.87370164,-18.59409839,Buy,COINBASE
ICP-usd,Internet Computer / United States Dollar,4.184,1.11164814,0.046,4.191,4.132,13642.2601,2491000.72735811,-53.22697509,Neutral,COINBASE
APE-usd,ApeCoin / United States Dollar,3.916,1.08415075,0.042,3.932,3.872,66000.9,2356275.36971999,-18.43961146,Neutral,COINBASE
FIL-usd,Filecoin / United States Dollar,4.458,0.72300045,0.032,4.463,4.421,54249.58,2353442.131289,-49.72675481,Sell,COINBASE
GALA-usd,Gala / United States Dollar,0.02494,0.12043356,0.00003,0.02497,0.02484,2653095,2264722.82158,-50.91713745,Sell,COINBASE
VGX-usd,Voyager Token / United States Dollar,0.4406,0.70857143,0.0031,0.4536,0.4372,440401.99,2172069.95076497,187.73152136,Buy,COINBASE
BAND-usd,Band Protocol / United States Dollar,2.123,-0.97947761,-0.021,2.164,2.122,31718.71,2153093.89378001,-25.98662968,Buy,COINBASE
JASMY-usd,JasmyCoin / United States Dollar,0.00412,0.243309,0.00001,0.00416,0.00408,32690013,2138723.76230001,-53.81170121,Sell,COINBASE
BTCEUR,Bitcoin / Euro,16103.51,0.37210613,59.7,16118.14,16040.56,1.78237926,2102316.42700153,-50.75440599,Sell,COINBASE
ETHGBP,Ether / British Pound,1020.29,0.88197198,8.92,1020.7,1010.81,27.47292391,2011506.45407027,61.97243013,Sell,COINBASE
MASK-usd,Mask Network / United States Dollar,3.78,0,0,3.82,3.75,48180.87,1966004.00289999,-18.1174341,Buy,COINBASE
DOGEEUR,Dogecoin / Euro,0.0964,1.79514256,0.0017,0.0973,0.0947,1105317.4,1746423.60773276,19.89985795,Buy,COINBASE
CHZ-usd,Chiliz / United States Dollar,0.1662,0.66626287,0.0011,0.1662,0.1651,308789.5,1723345.29563998,-65.16763253,Sell,COINBASE
AAVE-usd,Aave / United States Dollar,63.12,0.57361377,0.36,63.19,62.65,970.484,1600516.57431998,-35.22597985,Neutral,COINBASE
CBETH-usd, / United States Dollar,1201.13,0.82261002,9.8,1202.8,1190.62,72.89478,1515446.0895925,-54.89037598,Sell,COINBASE
MKR-usd,Maker / United States Dollar,640.48,0.0703092,0.45,641.32,640,427.733322,1494334.08105128,-29.74380621,Sell,COINBASE
DOGE-usdT,Dogecoin / Tether,0.1015,1.90763052,0.0019,0.1024,0.0999,2457216,1467919.64326425,3.47027218,Buy,COINBASE
GST-usd,Green Satoshi Token / United States Dollar,0.025196,-0.70541872,-0.000179,0.026668,0.024972,4620986.51,1408318.53040145,1185.64999102,Buy,COINBASE
BCH-usd,Bitcoin Cash / United States Dollar,110.5,0.74762947,0.82,110.72,109.59,589.72812947,1385943.22957635,-42.06072478,Sell,COINBASE
YFI-usd,yearn.finance / United States Dollar,6687,0.84269324,55.88,6701.26,6627.07,10.298975,1318573.12759497,-32.5210157,Neutral,COINBASE
SUSHI-usd,SushiSwap / United States Dollar,1.3342,0.54257724,0.0072,1.3349,1.3256,25089.41,1231765.884142,-20.60063037,Buy,COINBASE
ADAEUR,Cardano / Euro,0.3051,0.49407115,0.0015,0.307,0.3038,141295.53,1083021.10458847,8.85661902,Sell,COINBASE
MANA-usd,Decentraland / United States Dollar,0.4092,0.76335878,0.0031,0.41,0.4054,149898.73,1057581.592164,-58.81800447,Sell,COINBASE
QI-usd,Benqi / United States Dollar,0.008822,2.55754476,0.00022,0.008881,0.008523,2186312,1048468.467087,145.64157972,Strong Buy,COINBASE
DOGEBTC,Dogecoin / Bitcoin,0.00000599,1.52542373,9e-8,0.00000604,0.0000059,964391.8,1037252.31447861,20.66790046,Strong Buy,COINBASE
LRC-usd,Loopring / United States Dollar,0.2534,-0.27548209,-0.0007,0.2561,0.2534,262779.574955,1027363.26645932,-11.26502315,Sell,COINBASE
DOGEGBP,Dogecoin / British Pound,0.0826,1.72413793,0.0014,0.0834,0.0814,496575.9,1007981.62808422,1.29734682,Buy,COINBASE
-usdTEUR,Tether / Euro,0.95032,0.01578665,0.00015,0.95039,0.95013,11882.58,904952.51109556,-88.56730578,Sell,COINBASE
CBETHETH, / Ether,0.9599,0,0,0.96011,0.9598,20.81465,895508.074451,-55.76037052,Sell,COINBASE
